Denmark,1,7.53,1.44,0.8,0.58,0.44,0.36
Switzerland,2,7.51,1.53,0.86,0.59,0.41,0.28
Iceland,3,7.5,1.43,0.87,0.57,0.15,0.48
Norway,4,7.5,1.58,0.8,0.6,0.36,0.38
Finland,5,7.41,1.41,0.81,0.57,0.41,0.25
Canada,6,7.4,1.44,0.83,0.57,0.31,0.45
Netherlands,7,7.34,1.46,0.81,0.55,0.3,0.47
New Zealand,8,7.33,1.36,0.83,0.58,0.42,0.49
Australia,9,7.31,1.44,0.85,0.57,0.32,0.47
Sweden,10,7.29,1.45,0.83,0.58,0.41,0.38
Israel,11,7.27,1.34,0.85,0.36,0.09,0.32
Austria,12,7.12,1.45,0.81,0.54,0.21,0.33
United States,13,7.1,1.51,0.78,0.48,0.15,0.41
Costa Rica,14,7.09,1.07,0.76,0.55,0.11,0.23
Puerto Rico,15,7.04,1.36,0.78,0.47,0.12,0.22
Germany,16,6.99,1.45,0.81,0.53,0.29,0.3
Brazil,17,6.95,1.09,0.61,0.4,0.14,0.16
Belgium,18,6.93,1.43,0.82,0.51,0.26,0.24
Ireland,19,6.91,1.48,0.81,0.54,0.3,0.45
Luxembourg,20,6.87,1.7,0.85,0.55,0.35,0.28
Mexico,21,6.78,1.12,0.71,0.38,0.18,0.12
Singapore,22,6.74,1.65,0.95,0.49,0.47,0.33
United Kingdom,23,6.72,1.4,0.81,0.5,0.27,0.5
Chile,24,6.7,1.22,0.82,0.38,0.11,0.32
Panama,25,6.7,1.18,0.71,0.49,0.08,0.24
Argentina,26,6.65,1.15,0.7,0.42,0.07,0.11
Czech Republic,27,6.6,1.31,0.76,0.41,0.04,0.1
United Arab Emirates,28,6.57,1.57,0.73,0.56,0.36,0.27
Uruguay,29,6.54,1.18,0.72,0.54,0.21,0.18
Malta,30,6.49,1.31,0.8,0.55,0.18,0.56
Colombia,31,6.48,1.03,0.6,0.45,0.05,0.16
France,32,6.48,1.39,0.84,0.47,0.18,0.12
Thailand,33,6.47,1.09,0.65,0.5,0.03,0.59
Saudi Arabia,34,6.38,1.49,0.59,0.38,0.3,0.15
Taiwan,34,6.38,1.4,0.8,0.32,0.07,0.25
Qatar,36,6.38,1.82,0.72,0.57,0.48,0.32
Spain,37,6.36,1.34,0.88,0.38,0.06,0.18
Algeria,38,6.36,1.05,0.62,0.21,0.16,0.07
